Index,DEPTH(ft),WOB(klbf),TORQUE(kft.lbf),SPP(psi),RPM(1/min),ROP(ft/h),"Fow Rate, gpm ","UCS, psi"
345,4970,17.566,9.542,2798.947,130.705,83.218,844.048,2118.66
346,4970.5,17.612,9.559,2798.415,130.704,83.259,843.97,2117.772
347,4972,17.75,9.61,2796.682,130.784,83.439,843.719,2098.954
348,4973,17.842,9.643,2795.436,130.906,83.606,843.533,2087.234
349,4973.5,17.909,9.666,2794.785,130.987,83.704,843.424,2075.779
350,4975,18.106,9.732,2792.468,131.302,84.245,843.094,2041.493
351,4977.5,18.423,9.83,2788.224,132.115,85.291,842.541,2209.931
352,4978,18.484,9.849,2787.354,132.326,85.499,842.433,2365.033
353,4979,18.604,9.884,2785.605,132.764,85.913,842.218,2683.872
354,4980,18.722,9.919,2783.841,133.232,86.323,842.003,2761.118
355,4980.5,18.78,9.935,2782.952,133.478,86.527,841.896,2920.834
356,4981,18.837,9.952,2782.059,133.745,86.73,841.788,3080.374
357,4982,18.949,9.985,2780.261,134.329,87.138,841.574,3391.378
358,4987,19.414,10.108,2771.301,137.366,88.841,840.501,3818.662
359,4988.5,19.501,10.131,2768.65,138.272,89.339,840.176,3979.647
360,4989,19.528,10.138,2767.772,138.567,89.511,840.067,3997.881
361,4989.5,19.555,10.145,2766.897,138.858,89.705,839.96,4018.655
362,4990,19.582,10.151,2766.022,139.145,89.917,839.853,4042.499
363,4994.5,19.887,10.221,2758.277,141.477,92.017,838.907,4116.056
364,4995.5,19.972,10.239,2756.718,141.94,92.375,838.703,4080.418
365,4997.5,20.138,10.267,2753.793,142.808,92.963,838.325,4053.544
366,4998,20.179,10.273,2753.112,143.014,93.078,838.237,4049.338
367,4999.5,20.298,10.289,2751.267,143.611,93.34,837.989,4038.325
368,5000,20.338,10.294,2750.718,143.802,93.399,837.91,4035.994
369,5003,20.566,10.311,2747.826,144.853,93.441,837.464,4057.718
370,5005.5,20.748,10.307,2745.943,145.557,93.096,837.153,3632.929
371,5006,20.783,10.305,2745.624,145.681,92.997,837.098,3491.147
372,5007.5,20.884,10.296,2744.785,146.02,92.62,836.946,3445.729
373,5009,20.979,10.283,2744.141,146.264,92.102,836.817,3037.003
374,5009.5,21.009,10.277,2743.963,146.327,91.898,836.78,2897.93
